"","date","name","code","daily_cases","cases_seven_day_average"
"1","2022-04-01","United Kingdom","K02000001",69811,75364.2857142857
"2","2022-03-31","United Kingdom","K02000001",74720,76464
"3","2022-03-30","United Kingdom","K02000001",87188,79818.8571428571
"4","2022-03-29","United Kingdom","K02000001",80830,82003.8571428571
"5","2022-03-28","United Kingdom","K02000001",215001,83960.1428571429
"6","2022-03-27","United Kingdom","K02000001",0,85606.2857142857
"7","2022-03-26","United Kingdom","K02000001",0,85606.2857142857
"8","2022-03-25","United Kingdom","K02000001",77509,85606.2857142857
"9","2022-03-24","United Kingdom","K02000001",98204,87440.5714285714
"10","2022-03-23","United Kingdom","K02000001",102483,86228.1428571429
"11","2022-03-22","United Kingdom","K02000001",94524,84637
"12","2022-03-21","United Kingdom","K02000001",226524,86819.5714285714
"13","2022-03-20","United Kingdom","K02000001",0,78885.4285714286
"14","2022-03-19","United Kingdom","K02000001",0,78885.4285714286
"15","2022-03-18","United Kingdom","K02000001",90349,78885.4285714286
"16","2022-03-17","United Kingdom","K02000001",89717,76392.4285714286
"17","2022-03-16","United Kingdom","K02000001",91345,73755.5714285714
"18","2022-03-15","United Kingdom","K02000001",109802,70300.4285714286
"19","2022-03-14","United Kingdom","K02000001",170985,63457.2857142857
"20","2022-03-13","United Kingdom","K02000001",0,57117.1428571429
"21","2022-03-12","United Kingdom","K02000001",0,57117.1428571429
"22","2022-03-11","United Kingdom","K02000001",72898,57117.1428571429
"23","2022-03-10","United Kingdom","K02000001",71259,53094.5714285714
"24","2022-03-09","United Kingdom","K02000001",67159,49437
"25","2022-03-08","United Kingdom","K02000001",61900,46131
"26","2022-03-07","United Kingdom","K02000001",126604,42859.5714285714
"27","2022-03-06","United Kingdom","K02000001",0,36552
"28","2022-03-05","United Kingdom","K02000001",0,36552
"29","2022-03-04","United Kingdom","K02000001",44740,36552
"30","2022-03-03","United Kingdom","K02000001",45656,34722.4285714286
"31","2022-03-02","United Kingdom","K02000001",44017,33762
"32","2022-03-01","United Kingdom","K02000001",39000,33139
"33","2022-02-28","United Kingdom","K02000001",82451,33443.2857142857
"34","2022-02-27","United Kingdom","K02000001",0,27151.5714285714
"35","2022-02-26","United Kingdom","K02000001",0,31604.4285714286
"36","2022-02-25","United Kingdom","K02000001",31933,37274.8571428571
"37","2022-02-24","United Kingdom","K02000001",38933,39525.1428571429
"38","2022-02-23","United Kingdom","K02000001",39656,41377.4285714286
"39","2022-02-22","United Kingdom","K02000001",41130,43457.7142857143
"40","2022-02-21","United Kingdom","K02000001",38409,44180
"41","2022-02-20","United Kingdom","K02000001",31170,44642.7142857143
"42","2022-02-19","United Kingdom","K02000001",39693,46085.5714285714
"43","2022-02-18","United Kingdom","K02000001",47685,46990.1428571429
"44","2022-02-17","United Kingdom","K02000001",51899,48592.1428571429
"45","2022-02-16","United Kingdom","K02000001",54218,50697.7142857143
"46","2022-02-15","United Kingdom","K02000001",46186,52697.1428571429
"47","2022-02-14","United Kingdom","K02000001",41648,55553.8571428571
"48","2022-02-13","United Kingdom","K02000001",41270,57836
"49","2022-02-12","United Kingdom","K02000001",46025,60131.2857142857
"50","2022-02-11","United Kingdom","K02000001",58899,62626.7142857143
"51","2022-02-10","United Kingdom","K02000001",66638,66220.1428571429
"52","2022-02-09","United Kingdom","K02000001",68214,69296.2857142857
"53","2022-02-08","United Kingdom","K02000001",66183,72779.1428571429
"54","2022-02-07","United Kingdom","K02000001",57623,79389.8571428571
"55","2022-02-06","United Kingdom","K02000001",57337,84353.4285714286
"56","2022-02-05","United Kingdom","K02000001",63493,86020.5714285714
"57","2022-02-04","United Kingdom","K02000001",84053,87817.1428571429
"58","2022-02-03","United Kingdom","K02000001",88171,88549
"59","2022-02-02","United Kingdom","K02000001",92594,89791.8571428571
"60","2022-02-01","United Kingdom","K02000001",112458,91177.2857142857
"61","2022-01-31","United Kingdom","K02000001",92368,88587
"62","2022-01-30","United Kingdom","K02000001",69007,88026.8571428571
"63","2022-01-29","United Kingdom","K02000001",76069,89356.8571428571
"64","2022-01-28","United Kingdom","K02000001",89176,89956
"65","2022-01-27","United Kingdom","K02000001",96871,90900.4285714286
"66","2022-01-26","United Kingdom","K02000001",102292,92399.4285714286
"67","2022-01-25","United Kingdom","K02000001",94326,93224.7142857143
"68","2022-01-24","United Kingdom","K02000001",88447,93239.8571428571
"69","2022-01-23","United Kingdom","K02000001",78317,92665.8571428571
"70","2022-01-22","United Kingdom","K02000001",80263,92197.8571428571
"71","2022-01-21","United Kingdom","K02000001",95787,92405
"72","2022-01-20","United Kingdom","K02000001",107364,92957.1428571429
"73","2022-01-19","United Kingdom","K02000001",108069,93209.8571428571
"74","2022-01-18","United Kingdom","K02000001",94432,96283.8571428571
"75","2022-01-17","United Kingdom","K02000001",84429,100053.714285714
"76","2022-01-16","United Kingdom","K02000001",75041,108310.142857143
"77","2022-01-15","United Kingdom","K02000001",81713,117800.285714286
"78","2022-01-14","United Kingdom","K02000001",99652,127039.857142857
"79","2022-01-13","United Kingdom","K02000001",109133,138268.142857143
"80","2022-01-12","United Kingdom","K02000001",129587,148357.142857143
"81","2022-01-11","United Kingdom","K02000001",120821,157665.714285714
"82","2022-01-10","United Kingdom","K02000001",142224,171651.857142857
"83","2022-01-09","United Kingdom","K02000001",141472,173871
"84","2022-01-08","United Kingdom","K02000001",146390,175326.857142857
"85","2022-01-07","United Kingdom","K02000001",178250,180076.428571429
"86","2022-01-06","United Kingdom","K02000001",179756,181733
"87","2022-01-05","United Kingdom","K02000001",194747,183084
"88","2022-01-04","United Kingdom","K02000001",218724,181411.142857143
"89","2022-01-03","United Kingdom","K02000001",157758,169997.857142857
"90","2022-01-02","United Kingdom","K02000001",151663,163043.428571429
"91","2022-01-01","United Kingdom","K02000001",179637,158509.142857143
"92","2021-12-31","United Kingdom","K02000001",189846,150258.142857143
"93","2021-12-30","United Kingdom","K02000001",189213,140592.428571429
"94","2021-12-29","United Kingdom","K02000001",183037,130674.714285714
"95","2021-12-28","United Kingdom","K02000001",138831,120191.571428571
"96","2021-12-27","United Kingdom","K02000001",109077,113305.571428571
"97","2021-12-26","United Kingdom","K02000001",119923,110829.285714286
"98","2021-12-25","United Kingdom","K02000001",121880,105538.285714286
"99","2021-12-24","United Kingdom","K02000001",122186,101043.714285714
"100","2021-12-23","United Kingdom","K02000001",119789,96880.7142857143
"101","2021-12-22","United Kingdom","K02000001",109655,92393.1428571429
"102","2021-12-21","United Kingdom","K02000001",90629,87958.1428571429
"103","2021-12-20","United Kingdom","K02000001",91743,83526.8571428571
"104","2021-12-19","United Kingdom","K02000001",82886,78229.4285714286
"105","2021-12-18","United Kingdom","K02000001",90418,73367.7142857143
"106","2021-12-17","United Kingdom","K02000001",93045,68175.5714285714
"107","2021-12-16","United Kingdom","K02000001",88376,63196.8571428571
"108","2021-12-15","United Kingdom","K02000001",78610,57838.4285714286
"109","2021-12-14","United Kingdom","K02000001",59610,53943
"110","2021-12-13","United Kingdom","K02000001",54661,51954.5714285714
"111","2021-12-12","United Kingdom","K02000001",48854,51497.1428571429
"112","2021-12-11","United Kingdom","K02000001",54073,50802.5714285714
"113","2021-12-10","United Kingdom","K02000001",58194,49199
"114","2021-12-09","United Kingdom","K02000001",50867,48111.8571428571
"115","2021-12-08","United Kingdom","K02000001",51342,48551.5714285714
"116","2021-12-07","United Kingdom","K02000001",45691,48127.5714285714
"117","2021-12-06","United Kingdom","K02000001",51459,47274
"118","2021-12-05","United Kingdom","K02000001",43992,46006
"119","2021-12-04","United Kingdom","K02000001",42848,45104.4285714286
"120","2021-12-03","United Kingdom","K02000001",50584,44635.7142857143
"121","2021-12-02","United Kingdom","K02000001",53945,44565.2857142857
"122","2021-12-01","United Kingdom","K02000001",48374,43607.4285714286
"123","2021-11-30","United Kingdom","K02000001",39716,42936.2857142857
"124","2021-11-29","United Kingdom","K02000001",42583,43331.7142857143
"125","2021-11-28","United Kingdom","K02000001",37681,43665.1428571429
"126","2021-11-27","United Kingdom","K02000001",39567,43997
"127","2021-11-26","United Kingdom","K02000001",50091,44193.2857142857
"128","2021-11-25","United Kingdom","K02000001",47240,43357.7142857143
"129","2021-11-24","United Kingdom","K02000001",43676,43295.8571428571
"130","2021-11-23","United Kingdom","K02000001",42484,42522.5714285714
"131","2021-11-22","United Kingdom","K02000001",44917,41773.8571428571
"132","2021-11-21","United Kingdom","K02000001",40004,41029.2857142857
"133","2021-11-20","United Kingdom","K02000001",40941,40531.1428571429
"134","2021-11-19","United Kingdom","K02000001",44242,40161.1428571429
"135","2021-11-18","United Kingdom","K02000001",46807,39608.7142857143
"136","2021-11-17","United Kingdom","K02000001",38263,38980.2857142857
"137","2021-11-16","United Kingdom","K02000001",37243,39132.5714285714
"138","2021-11-15","United Kingdom","K02000001",39705,38543.1428571429
"139","2021-11-14","United Kingdom","K02000001",36517,37488.4285714286
"140","2021-11-13","United Kingdom","K02000001",38351,36601
"141","2021-11-12","United Kingdom","K02000001",40375,35507
"142","2021-11-11","United Kingdom","K02000001",42408,34600.4285714286
"143","2021-11-10","United Kingdom","K02000001",39329,33866.2857142857
"144","2021-11-09","United Kingdom","K02000001",33117,34147.7142857143
"145","2021-11-08","United Kingdom","K02000001",32322,34254.5714285714
"146","2021-11-07","United Kingdom","K02000001",30305,35362.4285714286
"147","2021-11-06","United Kingdom","K02000001",30693,36463
"148","2021-11-05","United Kingdom","K02000001",34029,37975.1428571429
"149","2021-11-04","United Kingdom","K02000001",37269,39323.4285714286
"150","2021-11-03","United Kingdom","K02000001",41299,39691
"151","2021-11-02","United Kingdom","K02000001",33865,40068.4285714286
"152","2021-11-01","United Kingdom","K02000001",40077,41081.1428571429
"153","2021-10-31","United Kingdom","K02000001",38009,40579.7142857143
"154","2021-10-30","United Kingdom","K02000001",41278,40858.7142857143
"155","2021-10-29","United Kingdom","K02000001",43467,41388.2857142857
"156","2021-10-28","United Kingdom","K02000001",39842,42221.2857142857
"157","2021-10-27","United Kingdom","K02000001",43941,43959.4285714286
"158","2021-10-26","United Kingdom","K02000001",40954,44702
"159","2021-10-25","United Kingdom","K02000001",36567,45099.7142857143
"160","2021-10-24","United Kingdom","K02000001",39962,46898.1428571429
"161","2021-10-23","United Kingdom","K02000001",44985,47637.8571428571
"162","2021-10-22","United Kingdom","K02000001",49298,47414.7142857143
"163","2021-10-21","United Kingdom","K02000001",52009,46791
"164","2021-10-20","United Kingdom","K02000001",49139,45799.1428571429
"165","2021-10-19","United Kingdom","K02000001",43738,44890.1428571429
"166","2021-10-18","United Kingdom","K02000001",49156,44144.7142857143
"167","2021-10-17","United Kingdom","K02000001",45140,42868.7142857143
"168","2021-10-16","United Kingdom","K02000001",43423,41359.2857142857
"169","2021-10-15","United Kingdom","K02000001",44932,40148.8571428571
"170","2021-10-14","United Kingdom","K02000001",45066,39696.4285714286
"171","2021-10-13","United Kingdom","K02000001",42776,39072.8571428571
"172","2021-10-12","United Kingdom","K02000001",38520,38655
"173","2021-10-11","United Kingdom","K02000001",40224,37990.5714285714
"174","2021-10-10","United Kingdom","K02000001",34574,37255.2857142857
"175","2021-10-09","United Kingdom","K02000001",34950,36664.5714285714
"176","2021-10-08","United Kingdom","K02000001",41765,36000.4285714286
"177","2021-10-07","United Kingdom","K02000001",40701,35116.4285714286
"178","2021-10-06","United Kingdom","K02000001",39851,34513.4285714286
"179","2021-10-05","United Kingdom","K02000001",33869,34066.4285714286
"180","2021-10-04","United Kingdom","K02000001",35077,34160.2857142857
"181","2021-10-03","United Kingdom","K02000001",30439,34572.1428571429
"182","2021-10-02","United Kingdom","K02000001",30301,34854.7142857143
"183","2021-10-01","United Kingdom","K02000001",35577,35164.2857142857
"184","2021-09-30","United Kingdom","K02000001",36480,35170.8571428571
"185","2021-09-29","United Kingdom","K02000001",36722,35203.7142857143
"186","2021-09-28","United Kingdom","K02000001",34526,34880.5714285714
"187","2021-09-27","United Kingdom","K02000001",37960,34457.4285714286
"188","2021-09-26","United Kingdom","K02000001",32417,34191.7142857143
"189","2021-09-25","United Kingdom","K02000001",32468,33791
"190","2021-09-24","United Kingdom","K02000001",35623,33459
"191","2021-09-23","United Kingdom","K02000001",36710,33034.4285714286
"192","2021-09-22","United Kingdom","K02000001",34460,31634.5714285714
"193","2021-09-21","United Kingdom","K02000001",31564,31082.7142857143
"194","2021-09-20","United Kingdom","K02000001",36100,30377.5714285714
"195","2021-09-19","United Kingdom","K02000001",29612,29624
"196","2021-09-18","United Kingdom","K02000001",30144,29561.2857142857
"197","2021-09-17","United Kingdom","K02000001",32651,29476
"198","2021-09-16","United Kingdom","K02000001",26911,30186.1428571429
"199","2021-09-15","United Kingdom","K02000001",30597,31772.1428571429
"200","2021-09-14","United Kingdom","K02000001",26628,32969
"201","2021-09-13","United Kingdom","K02000001",30825,34520.5714285714
"202","2021-09-12","United Kingdom","K02000001",29173,36001.5714285714
"203","2021-09-11","United Kingdom","K02000001",29547,37121.2857142857
"204","2021-09-10","United Kingdom","K02000001",37622,38268.5714285714
"205","2021-09-09","United Kingdom","K02000001",38013,38904.8571428571
"206","2021-09-08","United Kingdom","K02000001",38975,38925
"207","2021-09-07","United Kingdom","K02000001",37489,38456.1428571429
"208","2021-09-06","United Kingdom","K02000001",41192,37697.8571428571
"209","2021-09-05","United Kingdom","K02000001",37011,35595.5714285714
"210","2021-09-04","United Kingdom","K02000001",37578,35050.5714285714
"211","2021-09-03","United Kingdom","K02000001",42076,34311.7142857143
"212","2021-09-02","United Kingdom","K02000001",38154,33736
"213","2021-09-01","United Kingdom","K02000001",35693,33754.1428571429
"214","2021-08-31","United Kingdom","K02000001",32181,33776.1428571429
"215","2021-08-30","United Kingdom","K02000001",26476,33584.2857142857
"216","2021-08-29","United Kingdom","K02000001",33196,34361.1428571429
"217","2021-08-28","United Kingdom","K02000001",32406,34226.4285714286
"218","2021-08-27","United Kingdom","K02000001",38046,34176.7142857143
"219","2021-08-26","United Kingdom","K02000001",38281,34072.1428571429
"220","2021-08-25","United Kingdom","K02000001",35847,33828
"221","2021-08-24","United Kingdom","K02000001",30838,33550.4285714286
"222","2021-08-23","United Kingdom","K02000001",31914,32981
"223","2021-08-22","United Kingdom","K02000001",32253,32484.4285714286
"224","2021-08-21","United Kingdom","K02000001",32058,31698.2857142857
"225","2021-08-20","United Kingdom","K02000001",37314,31335.7142857143
"226","2021-08-19","United Kingdom","K02000001",36572,30676.5714285714
"227","2021-08-18","United Kingdom","K02000001",33904,30176.8571428571
"228","2021-08-17","United Kingdom","K02000001",26852,29563.7142857143
"229","2021-08-16","United Kingdom","K02000001",28438,29086.2857142857
"230","2021-08-15","United Kingdom","K02000001",26750,28618.1428571429
"231","2021-08-14","United Kingdom","K02000001",29520,28715.1428571429
"232","2021-08-13","United Kingdom","K02000001",32700,28585.4285714286
"233","2021-08-12","United Kingdom","K02000001",33074,28458
"234","2021-08-11","United Kingdom","K02000001",29612,28049.5714285714
"235","2021-08-10","United Kingdom","K02000001",23510,28006.7142857143
"236","2021-08-09","United Kingdom","K02000001",25161,27746.8571428571
"237","2021-08-08","United Kingdom","K02000001",27429,27288.4285714286
"238","2021-08-07","United Kingdom","K02000001",28612,26865.7142857143
"239","2021-08-06","United Kingdom","K02000001",31808,26513.1428571429
"240","2021-08-05","United Kingdom","K02000001",30215,26200.8571428571
"241","2021-08-04","United Kingdom","K02000001",29312,26329.7142857143
"242","2021-08-03","United Kingdom","K02000001",21691,26104.2857142857
"243","2021-08-02","United Kingdom","K02000001",21952,26364.2857142857
"244","2021-08-01","United Kingdom","K02000001",24470,26792.5714285714
"245","2021-07-31","United Kingdom","K02000001",26144,27464.4285714286
"246","2021-07-30","United Kingdom","K02000001",29622,28271.7142857143
"247","2021-07-29","United Kingdom","K02000001",31117,29238.4285714286
"248","2021-07-28","United Kingdom","K02000001",27734,30494
