"","date","sum_0_19_cases","sum_20_24_cases","sum_45_69_cases","sum_70_90_cases"
"1","2020-01-30",0,0,1,0
"2","2020-01-31",0,0,0,0
"3","2020-02-01",0,0,0,0
"4","2020-02-02",0,0,0,0
"5","2020-02-03",0,0,0,0
"6","2020-02-04",0,0,0,0
"7","2020-02-05",0,0,1,0
"8","2020-02-06",0,0,0,0
"9","2020-02-07",0,0,0,0
"10","2020-02-08",0,0,4,0
"11","2020-02-09",0,0,1,0
"12","2020-02-10",0,0,0,0
"13","2020-02-11",0,1,0,0
"14","2020-02-12",0,0,0,0
"15","2020-02-13",0,0,0,0
"16","2020-02-14",0,0,0,0
"17","2020-02-15",0,0,0,0
"18","2020-02-16",0,0,0,0
"19","2020-02-17",0,0,0,0
"20","2020-02-18",0,0,0,0
"21","2020-02-19",0,0,0,0
"22","2020-02-20",0,0,0,0
"23","2020-02-21",0,0,0,1
"24","2020-02-22",0,0,0,0
"25","2020-02-23",0,1,0,0
"26","2020-02-24",0,1,1,0
"27","2020-02-25",0,2,2,1
"28","2020-02-26",0,1,2,0
"29","2020-02-27",0,1,6,0
"30","2020-02-28",0,4,4,0
"31","2020-02-29",1,1,0,2
"32","2020-03-01",1,4,10,2
"33","2020-03-02",0,10,20,2
"34","2020-03-03",3,14,24,6
"35","2020-03-04",2,12,16,4
"36","2020-03-05",2,16,13,4
"37","2020-03-06",6,20,26,9
"38","2020-03-07",3,12,18,8
"39","2020-03-08",0,17,15,9
"40","2020-03-09",3,25,52,15
"41","2020-03-10",10,44,77,60
"42","2020-03-11",12,87,96,83
"43","2020-03-12",9,102,124,108
"44","2020-03-13",5,69,106,134
"45","2020-03-14",7,35,72,167
"46","2020-03-15",8,33,107,186
"47","2020-03-16",9,54,136,288
"48","2020-03-17",12,97,167,325
"49","2020-03-18",13,130,242,414
"50","2020-03-19",15,112,281,411
"51","2020-03-20",20,132,317,453
"52","2020-03-21",18,118,296,461
"53","2020-03-22",21,144,317,573
"54","2020-03-23",48,254,547,931
"55","2020-03-24",40,257,548,907
"56","2020-03-25",43,256,629,1037
"57","2020-03-26",38,293,705,1241
"58","2020-03-27",43,295,721,1247
"59","2020-03-28",34,256,675,1102
"60","2020-03-29",30,266,679,1145
"61","2020-03-30",52,431,997,1588
"62","2020-03-31",53,493,1096,1676
"63","2020-04-01",66,594,1207,1723
"64","2020-04-02",58,597,1252,1599
"65","2020-04-03",59,578,1244,1647
"66","2020-04-04",53,548,1052,1312
"67","2020-04-05",40,479,898,1249
"68","2020-04-06",62,784,1361,1592
"69","2020-04-07",68,816,1534,1533
"70","2020-04-08",50,816,1364,1490
"71","2020-04-09",59,788,1286,1385
"72","2020-04-10",58,733,1070,1253
"73","2020-04-11",69,608,904,1080
"74","2020-04-12",42,552,949,1005
"75","2020-04-13",43,725,1063,1138
"76","2020-04-14",66,784,1085,1108
"77","2020-04-15",66,950,1388,1231
"78","2020-04-16",46,953,1429,1306
"79","2020-04-17",75,860,1289,1255
"80","2020-04-18",76,941,1417,1054
"81","2020-04-19",53,807,1276,866
"82","2020-04-20",47,783,1105,1240
"83","2020-04-21",69,889,1216,1252
"84","2020-04-22",90,1104,1705,1204
"85","2020-04-23",105,971,1490,1307
"86","2020-04-24",103,944,1354,1277
"87","2020-04-25",69,741,1107,909
"88","2020-04-26",68,739,1086,717
"89","2020-04-27",82,862,1307,1189
"90","2020-04-28",106,891,1301,1139
"91","2020-04-29",103,1083,1516,1309
"92","2020-04-30",102,907,1315,1324
"93","2020-05-01",97,916,1211,1229
"94","2020-05-02",54,561,827,877
"95","2020-05-03",82,549,772,787
"96","2020-05-04",89,538,745,1114
"97","2020-05-05",111,648,889,1004
"98","2020-05-06",130,705,960,992
"99","2020-05-07",124,605,908,1078
"100","2020-05-08",125,614,732,729
"101","2020-05-09",70,381,519,528
"102","2020-05-10",89,461,575,590
"103","2020-05-11",105,619,822,1066
"104","2020-05-12",115,598,779,975
"105","2020-05-13",135,590,761,974
"106","2020-05-14",99,467,652,631
"107","2020-05-15",81,481,622,549
"108","2020-05-16",111,464,484,402
"109","2020-05-17",78,342,459,429
"110","2020-05-18",103,467,646,633
"111","2020-05-19",119,558,675,797
"112","2020-05-20",114,494,725,648
"113","2020-05-21",122,499,602,672
"114","2020-05-22",98,382,477,556
"115","2020-05-23",74,311,392,310
"116","2020-05-24",86,266,350,277
"117","2020-05-25",71,301,408,381
"118","2020-05-26",69,309,401,417
"119","2020-05-27",82,350,425,498
"120","2020-05-28",101,329,397,489
"121","2020-05-29",62,296,383,394
"122","2020-05-30",56,218,254,292
"123","2020-05-31",67,200,246,314
"124","2020-06-01",70,264,336,440
"125","2020-06-02",84,301,302,450
"126","2020-06-03",89,270,300,386
"127","2020-06-04",77,226,287,367
"128","2020-06-05",72,246,259,281
"129","2020-06-06",62,191,191,137
"130","2020-06-07",50,187,154,150
"131","2020-06-08",74,224,277,233
"132","2020-06-09",83,266,259,259
"133","2020-06-10",87,272,261,290
"134","2020-06-11",69,230,241,197
"135","2020-06-12",79,260,257,184
"136","2020-06-13",73,188,221,145
