"","date","england_daily_cases","england_seven_day_average","wales_daily_cases","wales_seven_day_average","scotland_new_cases","scotland_seven_day_average","northern_ireland_new_cases","northern_ireland_seven_day_average"
"1","2020-03-06",39,18,0,0.142857142857143,5,NA,2,NA
"2","2020-03-07",39,23.1428571428571,0,0.142857142857143,5,NA,2,NA
"3","2020-03-08",58,29.7142857142857,0,0.142857142857143,2,2.57142857142857,5,NA
"4","2020-03-09",40,34.8571428571429,2,0.428571428571429,5,3.14285714285714,3,NA
"5","2020-03-10",46,39.8571428571429,2,0.714285714285714,4,3.71428571428571,0,NA
"6","2020-03-11",63,44.2857142857143,9,2,9,4.71428571428571,2,NA
"7","2020-03-12",99,54.8571428571429,10,3.28571428571429,24,7.71428571428571,1,2.14285714285714
"8","2020-03-13",159,72,13,5.14285714285714,25,10.5714285714286,10,3.28571428571429
"9","2020-03-14",201,95.1428571428571,22,8.28571428571429,36,15,5,3.71428571428571
"10","2020-03-15",253,123,34,13.1428571428571,32,19.2857142857143,11,4.57142857142857
"11","2020-03-16",97,131.142857142857,30,17.1428571428571,18,21.1428571428571,7,5.14285714285714
"12","2020-03-17",361,176.142857142857,12,18.5714285714286,24,24,10,6.57142857142857
"13","2020-03-18",625,256.428571428571,13,19.1428571428571,32,27.2857142857143,6,7.14285714285714
"14","2020-03-19",574,324.285714285714,21,20.7142857142857,39,29.4285714285714,9,8.28571428571429
"15","2020-03-20",628,391.285714285714,21,21.8571428571429,56,33.8571428571429,9,8.14285714285714
"16","2020-03-21",873,487.285714285714,89,31.4285714285714,51,36,22,10.5714285714286
"17","2020-03-22",535,527.571428571429,67,36.1428571428571,43,37.5714285714286,20,11.8571428571429
"18","2020-03-23",793,627,71,42,83,46.8571428571429,20,13.7142857142857
"19","2020-03-24",1258,755.142857142857,60,48.8571428571429,85,55.5714285714286,24,15.7142857142857
"20","2020-03-25",1130,827.285714285714,150,68.4285714285714,135,70.2857142857143,37,20.1428571428571
"21","2020-03-26",1809,1003.71428571429,113,81.5714285714286,175,89.7142857142857,32,23.4285714285714
"22","2020-03-27",2506,1272,180,104.285714285714,165,105.285714285714,34,27
"23","2020-03-28",2139,1452.85714285714,172,116.142857142857,186,124.571428571429,49,30.8571428571429
"24","2020-03-29",2060,1670.71428571429,148,127.714285714286,139,138.285714285714,86,40.2857142857143
"25","2020-03-30",2107,1858.42857142857,210,147.571428571429,179,152,123,55
"26","2020-03-31",2414,2023.57142857143,112,155,430,201.285714285714,53,59.1428571428571
"27","2020-04-01",3630,2380.71428571429,274,172.714285714286,317,227.285714285714,103,68.5714285714286
"28","2020-04-02",3583,2634.14285714286,284,197.142857142857,292,244,85,76.1428571428571
"29","2020-04-03",3576,2787,345,220.714285714286,399,277.428571428571,130,89.8571428571429
"30","2020-04-04",2910,2897.14285714286,387,251.428571428571,344,300,94,96.2857142857143
"31","2020-04-05",5107,3332.42857142857,344,279.428571428571,361,331.714285714286,91,97
"32","2020-04-06",3176,3485.14285714286,302,292.571428571429,255,342.571428571429,69,89.2857142857143
"33","2020-04-07",2978,3565.71428571429,291,318.142857142857,268,319.428571428571,97,95.5714285714286
"34","2020-04-08",4788,3731.14285714286,283,319.428571428571,336,322.142857142857,84,92.8571428571429
"35","2020-04-09",3798,3761.85714285714,16,281.142857142857,392,336.428571428571,138,100.428571428571
"36","2020-04-10",4263,3860,502,303.571428571429,318,324.857142857143,112,97.8571428571429
"37","2020-04-11",3841,3993,340,296.857142857143,315,320.714285714286,128,102.714285714286
"38","2020-04-12",3672,3788,367,300.142857142857,322,315.142857142857,89,102.428571428571
"39","2020-04-13",2999,3762.71428571429,313,301.714285714286,155,300.857142857143,76,103.428571428571
