"","date","cases","seven_day_average"
"1","2022-03-10",1868,NA
"2","2022-03-09",1867,NA
"3","2022-03-08",1436,NA
"4","2022-03-07",801,NA
"5","2022-03-06",1147,NA
"6","2022-03-05",1735,NA
"7","2022-03-04",1898,1536
"8","2022-03-03",1853,1533.85714285714
"9","2022-03-02",1995,1552.14285714286
"10","2022-03-01",1649,1582.57142857143
"11","2022-02-28",785,1580.28571428571
"12","2022-02-27",1266,1597.28571428571
"13","2022-02-26",2320,1680.85714285714
"14","2022-02-25",2111,1711.28571428571
"15","2022-02-24",2411,1791
"16","2022-02-23",3117,1951.28571428571
"17","2022-02-22",2334,2049.14285714286
"18","2022-02-21",1151,2101.42857142857
"19","2022-02-20",1456,2128.57142857143
"20","2022-02-19",2267,2121
"21","2022-02-18",2800,2219.42857142857
"22","2022-02-17",3056,2311.57142857143
"23","2022-02-16",3699,2394.71428571429
"24","2022-02-15",2364,2399
"25","2022-02-14",1094,2390.85714285714
"26","2022-02-13",1649,2418.42857142857
"27","2022-02-12",2489,2450.14285714286
"28","2022-02-11",2862,2459
"29","2022-02-10",3169,2475.14285714286
"30","2022-02-09",5628,2750.71428571429
"31","2022-02-08",824,2530.71428571429
"32","2022-02-07",1228,2549.85714285714
"33","2022-02-06",1752,2564.57142857143
"34","2022-02-05",6135,3085.42857142857
"35","2022-02-04",0,2676.57142857143
"36","2022-02-03",3266,2690.42857142857
"37","2022-02-02",4502,2529.57142857143
"38","2022-02-01",3085,2852.57142857143
"39","2022-01-31",1366,2872.28571428571
"40","2022-01-30",2226,2940
"41","2022-01-29",3342,2541
"42","2022-01-28",3789,3082.28571428571
"43","2022-01-27",4100,3201.42857142857
"44","2022-01-26",4511,3202.71428571429
"45","2022-01-25",3197,3218.71428571429
"46","2022-01-24",1332,3213.85714285714
"47","2022-01-23",1931,3171.71428571429
"48","2022-01-22",3049,3129.85714285714
"49","2022-01-21",3519,3091.28571428571
"50","2022-01-20",8282,3688.71428571429
"51","2022-01-19",0,3044.28571428571
"52","2022-01-18",3657,3110
"53","2022-01-17",1629,3152.42857142857
"54","2022-01-16",2659,3256.42857142857
"55","2022-01-15",4590,3476.57142857143
"56","2022-01-14",5235,3721.71428571429
"57","2022-01-13",5917,3383.85714285714
"58","2022-01-12",6760,4349.57142857143
"59","2022-01-11",5668,4636.85714285714
"60","2022-01-10",2409,4748.28571428571
"61","2022-01-09",4482,5008.71428571429
"62","2022-01-08",7759,5461.42857142857
"63","2022-01-07",9259,6036.28571428571
"64","2022-01-06",9858,6599.28571428571
"65","2022-01-05",11106,7220.14285714286
"66","2022-01-04",8078,7564.42857142857
"67","2022-01-03",3076,7659.71428571429
"68","2022-01-02",4357,7641.85714285714
