"","date","england_new_deaths","england_seven_day_average","wales_new_deaths","wales_seven_day_average","scotland_new_deaths","scotland_seven_day_average","northern_ireland_new_deaths","northern_ireland_seven_day_average"
"1","2020-03-18",67,34.4285714285714,0,NA,0,0.857142857142857,1,NA
"2","2020-03-19",66,42.1428571428571,3,NA,3,1.14285714285714,1,NA
"3","2020-03-20",102,54.4285714285714,2,NA,5,1.85714285714286,0,NA
"4","2020-03-21",116,68.1428571428571,7,NA,6,2.42857142857143,1,NA
"5","2020-03-22",153,85.4285714285714,5,2.85714285714286,5,3.14285714285714,1,NA
"6","2020-03-23",173,104,4,3,4,3.57142857142857,5,NA
"7","2020-03-24",219,128,9,4.28571428571429,7,4.28571428571429,2,1.57142857142857
"8","2020-03-25",278,158.142857142857,10,5.71428571428571,11,5.85714285714286,4,2
"9","2020-03-26",338,197,11,6.85714285714286,12,7.14285714285714,2,2.14285714285714
"10","2020-03-27",374,235.857142857143,10,8,11,8,3,2.57142857142857
"11","2020-03-28",384,274.142857142857,15,9.14285714285714,29,11.2857142857143,8,3.57142857142857
"12","2020-03-29",464,318.571428571429,18,11,20,13.4285714285714,4,4
"13","2020-03-30",539,370.857142857143,16,12.7142857142857,30,17.1428571428571,4,3.85714285714286
"14","2020-03-31",604,425.857142857143,15,13.5714285714286,38,21.5714285714286,5,4.28571428571429
"15","2020-04-01",698,485.857142857143,21,15.1428571428571,46,26.5714285714286,4,4.28571428571429
"16","2020-04-02",732,542.142857142857,28,17.5714285714286,36,30,10,5.42857142857143
"17","2020-04-03",743,594.857142857143,29,20.2857142857143,58,36.7142857142857,10,6.42857142857143
"18","2020-04-04",839,659.857142857143,31,22.5714285714286,28,36.5714285714286,9,6.57142857142857
"19","2020-04-05",829,712,30,24.2857142857143,47,40.4285714285714,11,7.57142857142857
"20","2020-04-06",806,750.142857142857,20,24.8571428571429,63,45.1428571428571,6,7.85714285714286
