"","date","england_daily_cases","england_seven_day_average"
"1","2022-01-27",85288,80793.5714285714
"2","2022-01-26",90587,82320.1428571429
"3","2022-01-25",84302,83171.2857142857
"4","2022-01-24",77232,83269.1428571429
"5","2022-01-23",68913,82843
"6","2022-01-22",73331,82465.8571428571
"7","2022-01-21",85902,82643.7142857143
"8","2022-01-20",95974,82923
"9","2022-01-19",96545,83179.5714285714
"10","2022-01-18",84987,85983.5714285714
"11","2022-01-17",74249,88818.7142857143
"12","2022-01-16",66273,94782.8571428571
"13","2022-01-15",74576,102633.571428571
"14","2022-01-14",87857,110598.428571429
"15","2022-01-13",97770,119391
"16","2022-01-12",116173,127181.857142857
"17","2022-01-11",104833,132047.428571429
"18","2022-01-10",115998,138317.714285714
"19","2022-01-09",121228,141395.285714286
"20","2022-01-08",130330,141726.571428571
"21","2022-01-07",149405,146332.571428571
"22","2022-01-06",152306,147885.571428571
"23","2022-01-05",150232,147071
"24","2022-01-04",148725,145364.571428571
"25","2022-01-03",137541,140845.714285714
"26","2022-01-02",123547,135270.571428571
"27","2022-01-01",162572,132415
"28","2021-12-31",160276,125423
"29","2021-12-30",146604,117536.285714286
"30","2021-12-29",138287,111886.428571429
"31","2021-12-28",117093,105816.142857143
"32","2021-12-27",98515,100648
"33","2021-12-26",103558,97440.8571428571
"34","2021-12-25",113628,92890
"35","2021-12-24",105069,88432.5714285714
"36","2021-12-23",107055,85378.8571428571
"37","2021-12-22",95795,81128
"38","2021-12-21",80916,77281.2857142857
"39","2021-12-20",76065,73306.5714285714
"40","2021-12-19",71702,68858.8571428571
"41","2021-12-18",82426,64431.8571428571
"42","2021-12-17",83693,59591
"43","2021-12-16",77299,54621.7142857143
"44","2021-12-15",68868,49800.4285714286
"45","2021-12-14",53093,46250.5714285714
"46","2021-12-13",44931,44218.1428571429
"47","2021-12-12",40713,43731.5714285714
"48","2021-12-11",48540,43257.7142857143
"49","2021-12-10",48908,42030.4285714286
"50","2021-12-09",43550,41313.2857142857
"51","2021-12-08",44019,41646.1428571429
"52","2021-12-07",38866,41289
"53","2021-12-06",41525,40535.2857142857
"54","2021-12-05",37396,39589.7142857143
"55","2021-12-04",39949,38838.2857142857
"56","2021-12-03",43888,38245.2857142857
"57","2021-12-02",45880,38014.4285714286
"58","2021-12-01",41519,37229
"59","2021-11-30",33590,36513.5714285714
"60","2021-11-29",34906,36936.4285714286
"61","2021-11-28",32136,37161
"62","2021-11-27",35798,37357.7142857143
"63","2021-11-26",42272,37435
"64","2021-11-25",40382,36682.7142857143
"65","2021-11-24",36511,36530.2857142857
"66","2021-11-23",36550,35691.2857142857
"67","2021-11-22",36478,34877.4285714286
"68","2021-11-21",33513,34157.7142857143
"69","2021-11-20",36339,33570.7142857143
"70","2021-11-19",37006,33164.1428571429
"71","2021-11-18",39315,32614
"72","2021-11-17",30638,32065
"73","2021-11-16",30853,32194
"74","2021-11-15",31440,31768.1428571429
"75","2021-11-14",29404,30845.1428571429
"76","2021-11-13",33493,30041.5714285714
"77","2021-11-12",33155,29006.8571428571
"78","2021-11-11",35472,28340.4285714286
"79","2021-11-10",31541,27582.4285714286
"80","2021-11-09",27872,27979
"81","2021-11-08",24979,28073.1428571429
"82","2021-11-07",23779,29087.7142857143
"83","2021-11-06",26250,30187.7142857143
"84","2021-11-05",28490,31609.7142857143
"85","2021-11-04",30166,32804.4285714286
"86","2021-11-03",34317,33338.2857142857
"87","2021-11-02",28531,33793.2857142857
"88","2021-11-01",32081,34328.8571428571
"89","2021-10-31",31479,34504.2857142857
"90","2021-10-30",36204,34753.1428571429
"91","2021-10-29",36853,35475.2857142857
"92","2021-10-28",33903,36174.1428571429
"93","2021-10-27",37502,37668.4285714286
"94","2021-10-26",32280,38239.2857142857
"95","2021-10-25",33309,38872.4285714286
"96","2021-10-24",33221,39753
"97","2021-10-23",41259,40513.2857142857
"98","2021-10-22",41745,40279.7142857143
"99","2021-10-21",44363,39700.5714285714
"100","2021-10-20",41498,38861.2857142857
"101","2021-10-19",36712,38141.2857142857
"102","2021-10-18",39473,37652
"103","2021-10-17",38543,36634.2857142857
"104","2021-10-16",39624,35570.4285714286
"105","2021-10-15",37691,34375.4285714286
"106","2021-10-14",38488,33584.8571428571
"107","2021-10-13",36458,32844.4285714286
"108","2021-10-12",33287,32414.7142857143
"109","2021-10-11",32349,31780.2857142857
"110","2021-10-10",31096,31194.8571428571
"111","2021-10-09",31259,30349.1428571429
"112","2021-10-08",32157,29711.2857142857
"113","2021-10-07",33305,29236.8571428571
"114","2021-10-06",33450,28739.8571428571
"115","2021-10-05",28846,28109.2857142857
"116","2021-10-04",28251,28103.8571428571
"117","2021-10-03",25176,28257.8571428571
"118","2021-10-02",26794,28309.5714285714
"119","2021-10-01",28836,28494.2857142857
"120","2021-09-30",29826,28403.2857142857
"121","2021-09-29",29036,28291.7142857143
"122","2021-09-28",28808,28046.1428571429
"123","2021-09-27",29329,27498.2857142857
