"","date","name","hospital_cases","hospital_admissions","hospitalisations_seven_day_average"
"1","2021-12-21","England",6902,0,569.428571428571
"2","2021-12-20","England",6688,0,685.857142857143
"3","2021-12-19","England",6434,926,799.285714285714
"4","2021-12-18","England",6287,735,777.285714285714
"5","2021-12-17","England",6321,743,771.714285714286
"6","2021-12-16","England",6405,777,766.571428571429
"7","2021-12-15","England",6358,805,769.714285714286
"8","2021-12-14","England",6434,815,762.428571428571
"9","2021-12-13","England",6395,794,760.142857142857
"10","2021-12-12","England",6223,772,751.857142857143
"11","2021-12-11","England",6095,696,745.571428571429
"12","2021-12-10","England",6088,707,736.857142857143
"13","2021-12-09","England",6130,799,725
"14","2021-12-08","England",6053,754,713.571428571429
"15","2021-12-07","England",6027,799,705.571428571429
"16","2021-12-06","England",5992,736,691.285714285714
"17","2021-12-05","England",5903,728,681.714285714286
"18","2021-12-04","England",5784,635,664.428571428571
"19","2021-12-03","England",5851,624,660.714285714286
"20","2021-12-02","England",5915,719,660.142857142857
"21","2021-12-01","England",5829,698,650.285714285714
"22","2021-11-30","England",6123,699,658
"23","2021-11-29","England",6094,669,652.285714285714
"24","2021-11-28","England",5890,607,642.714285714286
"25","2021-11-27","England",5852,609,648.571428571429
"26","2021-11-26","England",5992,620,648.857142857143
"27","2021-11-25","England",6068,650,651.285714285714
"28","2021-11-24","England",6062,752,658
"29","2021-11-23","England",6257,659,654.428571428571
"30","2021-11-22","England",6424,602,662.142857142857
"31","2021-11-21","England",6322,648,675.428571428571
"32","2021-11-20","England",6191,611,679.714285714286
"33","2021-11-19","England",6310,637,686
"34","2021-11-18","England",6336,697,699.142857142857
"35","2021-11-17","England",6412,727,713.428571428571
"36","2021-11-16","England",6623,713,726.857142857143
"37","2021-11-15","England",6864,695,740.428571428571
"38","2021-11-14","England",6707,678,762.571428571429
"39","2021-11-13","England",6639,655,771.285714285714
"40","2021-11-12","England",6777,729,776
"41","2021-11-11","England",6861,797,769.857142857143
"42","2021-11-10","England",6961,821,758.428571428571
"43","2021-11-09","England",7053,808,756.428571428571
"44","2021-11-08","England",7075,850,768.285714285714
"45","2021-11-07","England",6910,739,775.285714285714
"46","2021-11-06","England",6874,688,792.571428571429
"47","2021-11-05","England",7072,686,800.142857142857
"48","2021-11-04","England",7201,717,822.142857142857
"49","2021-11-03","England",7291,807,846.571428571429
"50","2021-11-02","England",7510,891,867.714285714286
"51","2021-11-01","England",7535,899,870.571428571429
"52","2021-10-31","England",7311,860,865.714285714286
"53","2021-10-30","England",7155,741,861.285714285714
"54","2021-10-29","England",7113,840,863.428571428571
"55","2021-10-28","England",7019,888,852
"56","2021-10-27","England",6951,955,839.285714285714
"57","2021-10-26","England",6883,911,831.857142857143
"58","2021-10-25","England",6801,865,829.428571428571
"59","2021-10-24","England",6515,829,833.857142857143
"60","2021-10-23","England",6386,756,833.714285714286
"61","2021-10-22","England",6405,760,831.857142857143
"62","2021-10-21","England",6366,799,830.714285714286
"63","2021-10-20","England",6299,903,820.857142857143
"64","2021-10-19","England",6099,894,799.285714285714
"65","2021-10-18","England",5938,896,780.142857142857
"66","2021-10-17","England",5623,828,750
"67","2021-10-16","England",5385,743,718.285714285714
"68","2021-10-15","England",5363,752,699.714285714286
"69","2021-10-14","England",5289,730,680.714285714286
"70","2021-10-13","England",5246,752,667
"71","2021-10-12","England",5213,760,649.857142857143
"72","2021-10-11","England",5206,685,635.285714285714
"73","2021-10-10","England",5077,606,627
"74","2021-10-09","England",4921,613,622.857142857143
"75","2021-10-08","England",4975,619,613.714285714286
"76","2021-10-07","England",4962,634,599.571428571429
"77","2021-10-06","England",5009,632,587.857142857143
"78","2021-10-05","England",5006,658,586.857142857143
"79","2021-10-04","England",4909,627,578
"80","2021-10-03","England",4778,577,576.571428571429
"81","2021-10-02","England",4652,549,570.571428571429
"82","2021-10-01","England",4799,520,566.428571428571
"83","2021-09-30","England",4916,552,571.714285714286
"84","2021-09-29","England",5017,625,575.285714285714
"85","2021-09-28","England",5126,596,567.714285714286
"86","2021-09-27","England",5121,617,568.571428571429
"87","2021-09-26","England",4949,535,567
"88","2021-09-25","England",5100,520,572.285714285714
"89","2021-09-24","England",5036,557,578
"90","2021-09-23","England",5214,577,575.571428571429
"91","2021-09-22","England",5406,572,589.142857142857
"92","2021-09-21","England",5543,602,606.142857142857
"93","2021-09-20","England",5727,606,620.285714285714
"94","2021-09-19","England",5695,572,632
"95","2021-09-18","England",5688,560,644.285714285714
