"","date","northern_ireland_new_cases","northern_ireland_seven_day_average"
"1","2022-01-18",4081,3059.71428571429
"2","2022-01-17",3295,2965.28571428571
"3","2022-01-16",2518,2881.14285714286
"4","2022-01-15",2668,3058.57142857143
"5","2022-01-14",2954,3171.42857142857
"6","2022-01-13",2980,3670
"7","2022-01-12",2922,4226.71428571429
"8","2022-01-11",3420,4828.28571428571
"9","2022-01-10",2706,8685.85714285714
"10","2022-01-09",3760,8299.28571428571
"11","2022-01-08",3458,7762.14285714286
"12","2022-01-07",6444,7268.14285714286
"13","2022-01-06",6877,7378.28571428571
"14","2022-01-05",7133,7067.42857142857
"15","2022-01-04",30423,9330.14285714286
"19","2021-12-31",7215,4984
"20","2021-12-30",4701,4422.71428571429
"21","2021-12-29",22972,4212.14285714286
"26","2021-12-24",3286,2551.57142857143
"27","2021-12-23",3227,2351.71428571429
"28","2021-12-22",3231,2210.28571428571
"29","2021-12-21",2096,2056.71428571429
"30","2021-12-20",2148,1983.14285714286
"31","2021-12-19",1798,1880.71428571429
"32","2021-12-18",2075,1845
"33","2021-12-17",1887,1755.14285714286
"34","2021-12-16",2237,1743.57142857143
"35","2021-12-15",2156,1683.85714285714
"36","2021-12-14",1581,1652
"37","2021-12-13",1431,1663
"38","2021-12-12",1548,1692.14285714286
"39","2021-12-11",1446,1674.14285714286
"40","2021-12-10",1806,1702.14285714286
"41","2021-12-09",1819,1716.71428571429
"42","2021-12-08",1933,1781.42857142857
"43","2021-12-07",1658,1789.85714285714
"44","2021-12-06",1635,1779.42857142857
"45","2021-12-05",1422,1755
"46","2021-12-04",1642,1752.57142857143
"47","2021-12-03",1908,1729.71428571429
"48","2021-12-02",2272,1743.42857142857
"49","2021-12-01",1992,1640.14285714286
"50","2021-11-30",1585,1631.42857142857
"51","2021-11-29",1464,1615.85714285714
"52","2021-11-28",1405,1616.57142857143
"53","2021-11-27",1482,1616.71428571429
"54","2021-11-26",2004,1668.71428571429
"55","2021-11-25",1549,1623.85714285714
"56","2021-11-24",1931,1642.71428571429
"57","2021-11-23",1476,1630.85714285714
