"","date","scotland_new_cases","scotland_seven_day_average"
"1","2022-04-22",3093,4431.71428571429
"2","2022-04-21",3974,3989.85714285714
"3","2022-04-20",3976,4021.57142857143
"4","2022-04-19",19979,4241.14285714286
"5","2022-04-18",0,2095.28571428571
"6","2022-04-17",0,4061.14285714286
"7","2022-04-16",0,4061.14285714286
"8","2022-04-15",0,4061.14285714286
"9","2022-04-14",4196,4949
"10","2022-04-13",5513,5317.85714285714
"11","2022-04-12",4958,5575.28571428571
"12","2022-04-11",13761,5659.14285714286
"13","2022-04-10",0,6147.85714285714
"14","2022-04-09",0,6147.85714285714
"15","2022-04-08",6215,6147.85714285714
"16","2022-04-07",6778,6250.71428571429
"17","2022-04-06",7315,6577.28571428571
"18","2022-04-05",5545,6905.14285714286
"19","2022-04-04",17182,7443.14285714286
"20","2022-04-03",0,8630.71428571429
"21","2022-04-02",0,8630.71428571429
"22","2022-04-01",6935,8630.71428571429
"23","2022-03-31",9064,9082.85714285714
"24","2022-03-30",9610,9725.71428571429
"25","2022-03-29",9311,10127.2857142857
"26","2022-03-28",25495,10498.8571428571
"27","2022-03-27",0,11096.4285714286
"28","2022-03-26",0,11096.4285714286
"29","2022-03-25",10100,11096.4285714286
"30","2022-03-24",13564,12242.7142857143
"31","2022-03-23",12421,11693.7142857143
"32","2022-03-22",11912,11449.2857142857
"33","2022-03-21",29678,15286.1428571429
"34","2022-03-20",0,11046.4285714286
"35","2022-03-19",0,11046.4285714286
"36","2022-03-18",18124,11046.4285714286
"37","2022-03-17",9721,10345.8571428571
"38","2022-03-16",10710,11012.4285714286
"39","2022-03-15",38770,11190.5714285714
"40","2022-03-14",0,7321.28571428571
"41","2022-03-13",0,10819.5714285714
"42","2022-03-12",0,10819.5714285714
"43","2022-03-11",13220,10819.5714285714
"44","2022-03-10",14387,10295.4285714286
"45","2022-03-09",11957,9596
"46","2022-03-08",11685,9134.28571428571
"47","2022-03-07",24488,8536
"48","2022-03-06",0,7373.28571428571
"49","2022-03-05",0,7373.28571428571
"50","2022-03-04",9551,7373.28571428571
"51","2022-03-03",9491,6792.28571428571
"52","2022-03-02",8725,6464.28571428571
"53","2022-03-01",7497,6183
"54","2022-02-28",16349,6030.14285714286
"55","2022-02-27",0,4452.71428571429
"56","2022-02-26",0,5234.71428571429
"57","2022-02-25",5484,5994.14285714286
"58","2022-02-24",7195,6218.71428571429
"59","2022-02-23",6756,6211.42857142857
"60","2022-02-22",6427,6310.42857142857
"61","2022-02-21",5307,6221.57142857143
"62","2022-02-20",5474,6194.57142857143
"63","2022-02-19",5316,6169.85714285714
"64","2022-02-18",7056,6210.57142857143
"65","2022-02-17",7144,6251.28571428571
"66","2022-02-16",7449,6270
"67","2022-02-15",5805,5748.14285714286
"68","2022-02-14",5118,5299.42857142857
"69","2022-02-13",5301,4930.42857142857
"70","2022-02-12",5601,4636.28571428571
"71","2022-02-11",7341,4252.57142857143
"72","2022-02-10",7275,3836.57142857143
"73","2022-02-09",3796,3419.42857142857
"74","2022-02-08",2664,3521.28571428571
"75","2022-02-07",2535,3547.57142857143
"76","2022-02-06",3242,3465.57142857143
"77","2022-02-05",2915,3508
"78","2022-02-04",4429,3569
"79","2022-02-03",4355,3501.42857142857
"80","2022-02-02",4509,3498.28571428571
"81","2022-02-01",2848,3513.42857142857
"82","2022-01-31",1961,3538.57142857143
"83","2022-01-30",3539,3680.71428571429
"84","2022-01-29",3342,3677.71428571429
"85","2022-01-28",3956,3694
"86","2022-01-27",4333,3684.57142857143
"87","2022-01-26",4615,3743.14285714286
"88","2022-01-25",3024,3789.14285714286
"89","2022-01-24",2956,3858.14285714286
"90","2022-01-23",3518,3851.57142857143
"91","2022-01-22",3456,3937.14285714286
"92","2022-01-21",3890,4081.85714285714
"93","2022-01-20",4743,4380
"94","2022-01-19",4937,4443.28571428571
"95","2022-01-18",3507,4824.57142857143
"96","2022-01-17",2910,5808.14285714286
"97","2022-01-16",4117,7082
"98","2022-01-15",4469,7574
"99","2022-01-14",5977,8735.85714285714
"100","2022-01-13",5186,9951.42857142857
"101","2022-01-12",7606,10833.4285714286
"102","2022-01-11",10392,12047.2857142857
"103","2022-01-10",11827,13028.2857142857
"104","2022-01-09",7561,14226.8571428571
"105","2022-01-08",12602,15158.1428571429
"106","2022-01-07",14486,15795.7142857143
"107","2022-01-06",11360,15435.1428571429
"108","2022-01-05",16103,16220.4285714286
"109","2022-01-04",17259,16184.1428571429
"110","2022-01-03",20217,15055.7142857143
"111","2022-01-02",14080,13676.4285714286
"112","2022-01-01",17065,13240.7142857143
"113","2021-12-31",11962,11981.7142857143
"114","2021-12-30",16857,11283.7142857143
"115","2021-12-29",15849,9763.42857142857
"116","2021-12-28",9360,8351.71428571429
"117","2021-12-27",10562,7763.42857142857
"118","2021-12-26",11030,7216.57142857143
"119","2021-12-25",8252,6487.14285714286
"120","2021-12-24",7076,6153.57142857143
"121","2021-12-23",6215,5762.14285714286
"122","2021-12-22",5967,5724.42857142857
"123","2021-12-21",5242,5608.42857142857
"124","2021-12-20",6734,5304.85714285714
"125","2021-12-19",5924,4879.42857142857
"126","2021-12-18",5917,4604.85714285714
"127","2021-12-17",4336,4343.42857142857
"128","2021-12-16",5951,4440.85714285714
"129","2021-12-15",5155,4047.28571428571
"130","2021-12-14",3117,3750.42857142857
"131","2021-12-13",3756,3742.28571428571
"132","2021-12-12",4002,3762
"133","2021-12-11",4087,3562.71428571429
"134","2021-12-10",5018,3158.42857142857
"135","2021-12-09",3196,2789
"136","2021-12-08",3077,2761.28571428571
"137","2021-12-07",3060,2721.14285714286
"138","2021-12-06",3894,2651
"139","2021-12-05",2607,2415.28571428571
"140","2021-12-04",1257,2353.85714285714
"141","2021-12-03",2432,2501
"142","2021-12-02",3002,2566.14285714286
"143","2021-12-01",2796,2556.14285714286
"144","2021-11-30",2569,2596.71428571429
"145","2021-11-29",2244,2590.71428571429
"146","2021-11-28",2177,2624.57142857143
"147","2021-11-27",2287,2696
"148","2021-11-26",2888,2763
"149","2021-11-25",2932,2791.85714285714
"150","2021-11-24",3080,2835.14285714286
"151","2021-11-23",2527,2875.14285714286
"152","2021-11-22",2481,2910
"153","2021-11-21",2677,2882.42857142857
"154","2021-11-20",2756,2939.57142857143
"155","2021-11-19",3090,2981.85714285714
"156","2021-11-18",3235,3018.85714285714
"157","2021-11-17",3360,3033.85714285714
"158","2021-11-16",2771,3104.14285714286
"159","2021-11-15",2288,3027.28571428571
"160","2021-11-14",3077,2987.85714285714
"161","2021-11-13",3052,2963.71428571429
"162","2021-11-12",3349,2991.85714285714
"163","2021-11-11",3340,2854.71428571429
"164","2021-11-10",3852,2780.85714285714
"165","2021-11-09",2233,2729.85714285714
"166","2021-11-08",2012,2698
"167","2021-11-07",2908,2705.57142857143
"168","2021-11-06",3249,2649.14285714286
"169","2021-11-05",2389,2737.42857142857
"170","2021-11-04",2823,2786.42857142857
"171","2021-11-03",3495,2690.71428571429
"172","2021-11-02",2010,2558
"173","2021-11-01",2065,2594
"174","2021-10-31",2513,2618.85714285714
"175","2021-10-30",3867,2621
"176","2021-10-29",2732,2411.85714285714
"177","2021-10-28",2153,2436.14285714286
"178","2021-10-27",2566,2465
"179","2021-10-26",2262,2493.85714285714
"180","2021-10-25",2239,2522
"181","2021-10-24",2528,2515.57142857143
"182","2021-10-23",2403,2535.28571428571
"183","2021-10-22",2902,2560.71428571429
"184","2021-10-21",2355,2540.71428571429
"185","2021-10-20",2768,2581.28571428571
"186","2021-10-19",2459,2554.57142857143
"187","2021-10-18",2194,2475.85714285714
"188","2021-10-17",2666,2490.57142857143
"189","2021-10-16",2581,2447.28571428571
"190","2021-10-15",2762,2423.85714285714
"191","2021-10-14",2639,2404.57142857143
"192","2021-10-13",2581,2412
"193","2021-10-12",1908,2479.71428571429
"194","2021-10-11",2297,2500.85714285714
"195","2021-10-10",2363,2424.14285714286
"196","2021-10-09",2417,2378
"197","2021-10-08",2627,2392
"198","2021-10-07",2691,2401.42857142857
"199","2021-10-06",3055,2432.85714285714
"200","2021-10-05",2056,2424.57142857143
"201","2021-10-04",1760,2469.42857142857
"202","2021-10-03",2040,2513.57142857143
"203","2021-10-02",2515,2587.28571428571
"204","2021-10-01",2693,2693.85714285714
"205","2021-09-30",2911,2833
"206","2021-09-29",2997,2992
"207","2021-09-28",2370,3077.85714285714
"208","2021-09-27",2069,3149.28571428571
"209","2021-09-26",2556,3270.42857142857
"210","2021-09-25",3261,3452.85714285714
"211","2021-09-24",3667,3860.71428571429
"212","2021-09-23",4024,4126.71428571429
"213","2021-09-22",3598,3551.85714285714
"214","2021-09-21",2870,3740.28571428571
"215","2021-09-20",2917,3812.42857142857
"216","2021-09-19",3833,4001.57142857143
"217","2021-09-18",6116,4298.57142857143
"218","2021-09-17",5529,4038.85714285714
"219","2021-09-15",4917,5199.14285714286
"220","2021-09-14",3375,5326.71428571429
"221","2021-09-13",4241,5657.71428571429
"222","2021-09-12",5912,6061.14285714286
"223","2021-09-11",4298,6126.28571428571
"224","2021-09-10",6815,6391.14285714286
"225","2021-09-09",6836,6376.28571428571
"226","2021-09-08",5810,6314
"227","2021-09-07",5692,6365.42857142857
"228","2021-09-06",7065,6413.57142857143
"229","2021-09-05",6368,5960.42857142857
"230","2021-09-04",6152,6066.85714285714
"231","2021-09-03",6711,6024.85714285714
"232","2021-09-02",6400,6042.57142857143
"233","2021-09-01",6170,5831.85714285714
"234","2021-08-31",6029,5667.71428571429
"235","2021-08-30",3893,5424
"236","2021-08-29",7113,5323.42857142857
"237","2021-08-28",5858,4763
"238","2021-08-27",6835,4421
"239","2021-08-26",4925,3960.71428571429
"240","2021-08-25",5021,3738.14285714286
"241","2021-08-24",4323,3383.42857142857
"242","2021-08-23",3189,3025.14285714286
"243","2021-08-22",3190,2793.42857142857
"244","2021-08-21",3464,2551.71428571429
"245","2021-08-20",3613,2254.42857142857
"246","2021-08-19",3367,1958.57142857143
"247","2021-08-18",2538,1695.42857142857
"248","2021-08-17",1815,1546.85714285714
"249","2021-08-16",1567,1435
"250","2021-08-15",1498,1332.71428571429
"251","2021-08-14",1383,1295.85714285714
"252","2021-08-13",1542,1296.28571428571
"253","2021-08-12",1525,1254.57142857143
"254","2021-08-11",1498,1234
"255","2021-08-10",1032,1201.57142857143
"256","2021-08-09",851,1199.28571428571
"257","2021-08-08",1240,1191.85714285714
"258","2021-08-07",1386,1162.42857142857
"259","2021-08-06",1250,1109.85714285714
"260","2021-08-05",1381,1139.28571428571
"261","2021-08-04",1271,1141.71428571429
"262","2021-08-03",1016,1128.57142857143
"263","2021-08-02",799,1132.57142857143
"264","2021-08-01",1034,1161.28571428571
"265","2021-07-31",1018,1190.28571428571
"266","2021-07-30",1456,1231.57142857143
"267","2021-07-29",1398,1238.57142857143
"268","2021-07-28",1179,1299.57142857143
"269","2021-07-27",1044,1372
"270","2021-07-26",1000,1452
"271","2021-07-25",1237,1518.28571428571
"272","2021-07-24",1307,1589.42857142857
"273","2021-07-23",1505,1733.71428571429
"274","2021-07-22",1825,1811.14285714286
"275","2021-07-21",1686,1848.42857142857
"276","2021-07-20",1604,1984.14285714286
"277","2021-07-19",1464,2116.28571428571
"278","2021-07-18",1735,2212
"279","2021-07-17",2317,2256.71428571429
"280","2021-07-16",2047,2238.57142857143
"281","2021-07-15",2086,2405.57142857143
"282","2021-07-14",2636,2507.85714285714
"283","2021-07-13",2529,2674
"284","2021-07-12",2134,2650.28571428571
"285","2021-07-11",2048,2684.28571428571
"286","2021-07-10",2190,2781.14285714286
"287","2021-07-09",3216,2912.28571428571
"288","2021-07-08",2802,2999
"289","2021-07-07",3799,3203.57142857143
"290","2021-07-06",2363,3216.14285714286
"291","2021-07-05",2372,3324
"292","2021-07-04",2726,3454.42857142857
"293","2021-07-03",3108,3442
"294","2021-07-02",3823,3403.14285714286
"295","2021-07-01",4234,3106.57142857143
"296","2021-06-30",3887,2930.14285714286
"297","2021-06-29",3118,2799
"298","2021-06-28",3285,2663.14285714286
"299","2021-06-27",2639,2372.42857142857
"300","2021-06-26",2836,2167.57142857143
"301","2021-06-25",1747,1935.14285714286
"302","2021-06-24",2999,1821.28571428571
"303","2021-06-23",2969,1581
"304","2021-06-22",2167,1318.14285714286
"305","2021-06-21",1250,1147.71428571429
"306","2021-06-20",1205,1077.85714285714
"307","2021-06-19",1209,1053.71428571429
"308","2021-06-18",950,1028.14285714286
"309","2021-06-17",1317,1050.14285714286
"310","2021-06-16",1129,967
"311","2021-06-15",974,950.142857142857
"312","2021-06-14",761,910.285714285714
"313","2021-06-13",1036,893.142857142857
"314","2021-06-12",1030,855.857142857143
"315","2021-06-11",1104,831.571428571429
"316","2021-06-10",735,815.571428571429
"317","2021-06-09",1011,829.857142857143
"318","2021-06-08",695,782.142857142857
"319","2021-06-07",641,751.142857142857
"320","2021-06-06",775,729.571428571429
"321","2021-06-05",860,694
"322","2021-06-04",992,654.428571428571
"323","2021-06-03",835,604.285714285714
"324","2021-06-02",677,551.285714285714
"325","2021-06-01",478,532.571428571429
"326","2021-05-31",490,509.714285714286
"327","2021-05-30",526,484.428571428571
"328","2021-05-29",583,463.285714285714
"329","2021-05-28",641,432.857142857143
"330","2021-05-27",464,400.428571428571
"331","2021-05-26",546,395.857142857143
"332","2021-05-25",318,374.142857142857
"333","2021-05-24",313,367
"334","2021-05-23",378,345.285714285714
"335","2021-05-22",370,333
"336","2021-05-21",414,339.142857142857
"337","2021-05-20",432,310.714285714286
"338","2021-05-19",394,287.571428571429
"339","2021-05-18",268,280.571428571429
"340","2021-05-17",161,276.285714285714
"341","2021-05-16",292,277.285714285714
"342","2021-05-15",413,264.142857142857
"343","2021-05-14",215,237.142857142857
"344","2021-05-13",270,240.142857142857
"345","2021-05-12",345,242
"346","2021-05-11",238,204.857142857143
"347","2021-05-10",168,190.714285714286
"348","2021-05-09",200,185.571428571429
"349","2021-05-08",224,177.857142857143
"350","2021-05-07",236,170.857142857143
"351","2021-05-06",283,164.428571428571
"352","2021-05-05",85,149.428571428571
"353","2021-05-04",139,166.428571428571
"354","2021-05-03",132,165.571428571429
"355","2021-05-02",146,167
"356","2021-05-01",175,171.285714285714
"357","2021-04-30",191,171.571428571429
"358","2021-04-29",178,180.714285714286
"359","2021-04-28",204,188.285714285714
"360","2021-04-27",133,198.142857142857
"361","2021-04-26",142,204.571428571429
"362","2021-04-25",176,217.428571428571
"363","2021-04-24",177,222.428571428571
"364","2021-04-23",255,227.142857142857
"365","2021-04-22",231,219.857142857143
"366","2021-04-21",273,220.714285714286
"367","2021-04-20",178,221.428571428571
"368","2021-04-19",232,227.571428571429
"369","2021-04-18",211,222.857142857143
"370","2021-04-17",210,228.428571428571
"371","2021-04-16",204,238.571428571429
"372","2021-04-15",237,250.142857142857
"373","2021-04-14",278,268.285714285714
"374","2021-04-13",221,269.857142857143
"375","2021-04-12",199,275.285714285714
"376","2021-04-11",250,282.285714285714
"377","2021-04-10",281,295.571428571429
"378","2021-04-09",285,312.142857142857
"379","2021-04-08",364,330.571428571429
"380","2021-04-07",289,335.714285714286
"381","2021-04-06",259,371.857142857143
"382","2021-04-05",248,393.571428571429
"383","2021-04-04",343,408.428571428571
"384","2021-04-03",397,419.714285714286
"385","2021-04-02",414,443.428571428571
"386","2021-04-01",400,461.857142857143
"387","2021-03-31",542,504.857142857143
"388","2021-03-30",411,526.285714285714
"389","2021-03-29",352,538.285714285714
"390","2021-03-28",422,539.285714285714
"391","2021-03-27",563,555
"392","2021-03-26",543,544.285714285714
"393","2021-03-25",701,560.285714285714
"394","2021-03-24",692,549.285714285714
"395","2021-03-23",495,539.714285714286
"396","2021-03-22",359,554.285714285714
"397","2021-03-21",532,568.142857142857
"398","2021-03-20",488,561.285714285714
"399","2021-03-19",655,582.857142857143
"400","2021-03-18",624,586.714285714286
"401","2021-03-17",625,582
"402","2021-03-16",597,591.428571428571
"403","2021-03-15",456,572.714285714286
"404","2021-03-14",484,579.142857142857
"405","2021-03-13",639,565.714285714286
"406","2021-03-12",682,553.714285714286
"407","2021-03-11",591,527.428571428571
"408","2021-03-10",691,514.428571428571
"409","2021-03-09",466,493.285714285714
"410","2021-03-08",501,504.142857142857
"411","2021-03-07",390,487.714285714286
"412","2021-03-06",555,513.714285714286
"413","2021-03-05",498,509.428571428571
"414","2021-03-04",500,521.285714285714
"415","2021-03-03",543,559.714285714286
"416","2021-03-02",542,596.142857142857
"417","2021-03-01",386,612.285714285714
"418","2021-02-28",572,659.285714285714
"419","2021-02-27",525,695.714285714286
"420","2021-02-26",581,735.428571428571
"421","2021-02-25",769,778.857142857143
"422","2021-02-24",798,766.857142857143
"423","2021-02-23",655,813
"424","2021-02-22",715,829.857142857143
"425","2021-02-21",827,807.571428571429
"426","2021-02-20",803,818.428571428571
"427","2021-02-19",885,833.428571428571
"428","2021-02-18",685,825.571428571429
"429","2021-02-17",1121,846.285714285714
"430","2021-02-16",773,800.857142857143
"431","2021-02-15",559,807.857142857143
"432","2021-02-14",903,860.571428571429
"433","2021-02-13",908,815
"434","2021-02-12",830,813.142857142857
"435","2021-02-11",830,822.428571428571
"436","2021-02-10",803,868
"437","2021-02-09",822,893
"438","2021-02-08",928,883.857142857143
"439","2021-02-07",584,872.428571428571
"440","2021-02-06",895,932.285714285714
"441","2021-02-05",895,946.428571428571
"442","2021-02-04",1149,983.571428571429
"443","2021-02-03",978,991
"444","2021-02-02",758,1041.28571428571
"445","2021-02-01",848,1082.85714285714
"446","2021-01-31",1003,1069.14285714286
"447","2021-01-30",994,1096.57142857143
"448","2021-01-29",1155,1141.28571428571
"449","2021-01-28",1201,1187.71428571429
"450","2021-01-27",1330,1249.85714285714
"451","2021-01-26",1049,1296.42857142857
"452","2021-01-25",752,1313
"453","2021-01-24",1195,1409.71428571429
"454","2021-01-23",1307,1430.57142857143
"455","2021-01-22",1480,1494.28571428571
"456","2021-01-21",1636,1591.42857142857
"457","2021-01-20",1656,1601.57142857143
"458","2021-01-19",1165,1643.42857142857
"459","2021-01-18",1429,1744.85714285714
"460","2021-01-17",1341,1795.28571428571
"461","2021-01-16",1753,1871.85714285714
"462","2021-01-15",2160,1887.85714285714
"463","2021-01-14",1707,1909.14285714286
"464","2021-01-13",1949,2043.71428571429
"465","2021-01-12",1875,2056.57142857143
"466","2021-01-11",1782,2150
"467","2021-01-10",1877,2167.57142857143
"468","2021-01-09",1865,2251.42857142857
"469","2021-01-08",2309,2290.28571428571
"470","2021-01-07",2649,2323.14285714286
"471","2021-01-06",2039,2319.28571428571
"472","2021-01-05",2529,2320.14285714286
"473","2021-01-04",1905,2229.57142857143
"474","2021-01-03",2464,2095.57142857143
"475","2021-01-02",2137,1849.28571428571
"476","2021-01-01",2539,1708.14285714286
"477","2020-12-31",2622,1511.85714285714
"478","2020-12-30",2045,1325
"479","2020-12-29",1895,1202.85714285714
"480","2020-12-28",967,1120.14285714286
"481","2020-12-27",740,1196.85714285714
"482","2020-12-26",1149,1224.57142857143
"483","2020-12-25",1165,1142.14285714286
"484","2020-12-24",1314,1082
"485","2020-12-23",1190,1016.85714285714
"486","2020-12-22",1316,945.285714285714
"487","2020-12-21",1504,878
"488","2020-12-20",934,768
"489","2020-12-19",572,748.857142857143
"490","2020-12-18",744,819.142857142857
"491","2020-12-17",858,855.857142857143
"492","2020-12-16",689,866.571428571429
"493","2020-12-15",845,896.285714285714
"494","2020-12-14",734,874.428571428571
"495","2020-12-13",800,866.285714285714
"496","2020-12-12",1064,843.857142857143
"497","2020-12-11",1001,802.857142857143
"498","2020-12-10",933,797.857142857143
"499","2020-12-09",897,801.428571428571
"500","2020-12-08",692,809.142857142857
"501","2020-12-07",677,818
"502","2020-12-06",643,774
"503","2020-12-05",777,788.714285714286
"504","2020-12-04",966,790.285714285714
"505","2020-12-03",958,790.714285714286
"506","2020-12-02",951,828.857142857143
"507","2020-12-01",754,818.714285714286
"508","2020-11-30",369,821.142857142857
"509","2020-11-29",746,904
"510","2020-11-28",788,918
"511","2020-11-27",969,932.142857142857
"512","2020-11-26",1225,939.142857142857
"513","2020-11-25",880,919.714285714286
"514","2020-11-24",771,974.571428571429
"515","2020-11-23",949,1042.71428571429
"516","2020-11-22",844,1009.57142857143
"517","2020-11-21",887,1054.57142857143
"518","2020-11-20",1018,1087.57142857143
"519","2020-11-19",1089,1136
"520","2020-11-18",1264,1153.57142857143
"521","2020-11-17",1248,1153.14285714286
"522","2020-11-16",717,1093.71428571429
"523","2020-11-15",1159,1121.57142857143
"524","2020-11-14",1118,1115.28571428571
"525","2020-11-13",1357,1183.57142857143
"526","2020-11-12",1212,1142.85714285714
"527","2020-11-11",1261,1143.42857142857
"528","2020-11-10",832,1168
"529","2020-11-09",912,1191.85714285714
"530","2020-11-08",1115,1197.42857142857
"531","2020-11-07",1596,1202.14285714286
"532","2020-11-06",1072,1131.42857142857
"533","2020-11-05",1216,1161.28571428571
"534","2020-11-04",1433,1148.71428571429
"535","2020-11-03",999,1115.71428571429
"536","2020-11-02",951,1162.57142857143
"537","2020-11-01",1148,1187
"538","2020-10-31",1101,1209.14285714286
"539","2020-10-30",1281,1256.57142857143
"540","2020-10-29",1128,1273.71428571429
"541","2020-10-28",1202,1357.14285714286
"542","2020-10-27",1327,1433.85714285714
"543","2020-10-26",1122,1452.28571428571
"544","2020-10-25",1303,1433.85714285714
"545","2020-10-24",1433,1292.85714285714
"546","2020-10-23",1401,1254.85714285714
"547","2020-10-22",1712,1225.57142857143
"548","2020-10-21",1739,1174
"549","2020-10-20",1456,1129.71428571429
"550","2020-10-19",993,1107
"551","2020-10-18",316,1102.42857142857
"552","2020-10-17",1167,1193.85714285714
"553","2020-10-16",1196,1171.28571428571
"554","2020-10-15",1351,1178.42857142857
"555","2020-10-14",1429,1132.14285714286
"556","2020-10-13",1297,1078.57142857143
"557","2020-10-12",961,1007.57142857143
"558","2020-10-11",956,969.857142857143
"559","2020-10-10",1009,941.571428571429
"560","2020-10-09",1246,906.571428571429
"561","2020-10-08",1027,839.285714285714
"562","2020-10-07",1054,788
"563","2020-10-06",800,728.857142857143
"564","2020-10-05",697,729.714285714286
"565","2020-10-04",758,661.857142857143
"566","2020-10-03",764,602.714285714286
"567","2020-10-02",775,595.571428571429
"568","2020-10-01",668,564.571428571429
"569","2020-09-30",640,535.571428571429
"570","2020-09-29",806,513.571428571429
"571","2020-09-28",222,453.142857142857
"572","2020-09-27",344,457.857142857143
"573","2020-09-26",714,443.714285714286
"574","2020-09-25",558,391.714285714286
"575","2020-09-24",465,341
"576","2020-09-23",486,316
"577","2020-09-22",383,284.714285714286
"578","2020-09-21",255,268.142857142857
"579","2020-09-20",245,241.714285714286
"580","2020-09-19",350,241.571428571429
"581","2020-09-18",203,223.142857142857
"582","2020-09-17",290,219.142857142857
"583","2020-09-16",267,200.714285714286
"584","2020-09-15",267,185.285714285714
"585","2020-09-14",70,172.285714285714
"586","2020-09-13",244,183.142857142857
"587","2020-09-12",221,178
"588","2020-09-11",175,166.571428571429
"589","2020-09-10",161,164.285714285714
"590","2020-09-09",159,155.714285714286
"591","2020-09-08",176,155.285714285714
