"","date","name","first_dose","second_dose","third_dose"
"1","2022-04-07","England",8963,9272,13339
"2","2022-04-06","England",8785,8949,13256
"3","2022-04-05","England",8922,8863,12421
"4","2022-04-04","England",8576,9319,12831
"5","2022-04-03","England",3363,7593,7592
"6","2022-04-02","England",5917,15162,15107
"7","2022-04-01","England",3796,10104,12742
"8","2022-03-31","England",3530,10881,13692
"9","2022-03-30","England",3503,11249,14052
"10","2022-03-29","England",3559,10148,12642
"11","2022-03-28","England",2994,9500,11974
"12","2022-03-27","England",2363,6781,6366
"13","2022-03-26","England",5791,17315,16037
"14","2022-03-25","England",3654,11943,14656
"15","2022-03-24","England",3462,10559,13816
"16","2022-03-23","England",3959,11415,15188
"17","2022-03-22","England",3080,10609,14986
"18","2022-03-21","England",2925,10889,14144
"19","2022-03-20","England",2792,8661,9351
"20","2022-03-19","England",6006,18001,18959
"21","2022-03-18","England",3517,13116,16287
"22","2022-03-17","England",3358,12310,14950
"23","2022-03-16","England",3653,13339,16338
"24","2022-03-15","England",3820,13159,16133
"25","2022-03-14","England",3030,11844,15098
"26","2022-03-13","England",3396,9607,10403
"27","2022-03-12","England",7487,18831,20526
"28","2022-03-11","England",4084,13651,17945
"29","2022-03-10","England",4116,12646,16212
