"","date","name","first_dose","second_dose","third_dose"
"1","2021-12-28","England",21549,26626,258399
"2","2021-12-27","England",15766,18686,209626
"3","2021-12-26","England",1809,1991,20278
"4","2021-12-25","England",955,916,10477
"5","2021-12-24","England",10452,13540,153690
"6","2021-12-23","England",29980,39323,493033
"7","2021-12-22","England",35657,47314,695273
"8","2021-12-21","England",36309,48491,809192
"9","2021-12-20","England",36092,44655,753793
"10","2021-12-19","England",30298,36136,726195
"11","2021-12-18","England",35141,41112,830403
"12","2021-12-17","England",29563,37693,740775
"13","2021-12-16","England",29554,37626,739867
"14","2021-12-15","England",24607,33399,626846
"15","2021-12-14","England",30807,33130,548039
"16","2021-12-13","England",19270,25394,418544
"17","2021-12-12","England",19197,24900,333866
"18","2021-12-11","England",23546,34061,483361
"19","2021-12-10","England",19343,28294,362502
"20","2021-12-09","England",20751,29840,396278
"21","2021-12-08","England",18337,25110,340615
"22","2021-12-07","England",19228,23206,319214
"23","2021-12-06","England",17537,21622,268062
"24","2021-12-05","England",16008,20872,221674
"25","2021-12-04","England",24789,34276,412755
"26","2021-12-03","England",20806,26469,332834
"27","2021-12-02","England",22731,26919,353104
"28","2021-12-01","England",22406,28070,341121
"29","2021-11-30","England",27138,27933,325881
"30","2021-11-29","England",19496,22601,258944
"31","2021-11-28","England",15301,22482,223189
"32","2021-11-27","England",21362,30616,419657
"33","2021-11-26","England",19098,21923,320981
"34","2021-11-25","England",20677,19615,334749
"35","2021-11-24","England",21775,20048,315306
"36","2021-11-23","England",23445,18562,301034
"37","2021-11-22","England",20665,15567,249999
"38","2021-11-21","England",14066,11240,189138
"39","2021-11-20","England",23350,21592,412685
"40","2021-11-19","England",24413,18723,305470
"41","2021-11-18","England",24034,17429,318203
"42","2021-11-17","England",28332,18511,314138
"43","2021-11-16","England",27258,16897,282808
"44","2021-11-15","England",27672,15525,232248
"45","2021-11-14","England",18296,11959,176724
"46","2021-11-13","England",30618,22806,411430
"47","2021-11-12","England",31649,19229,299597
"48","2021-11-11","England",34640,19560,305139
"49","2021-11-10","England",115551,43996,465913
"50","2021-11-09","England",36321,18208,278763
"51","2021-11-08","England",30386,17398,222489
"52","2021-11-07","England",22430,11202,166959
"53","2021-11-06","England",33721,22869,371339
"54","2021-11-05","England",40573,19037,266470
"55","2021-11-04","England",40075,17167,274443
"56","2021-11-03","England",42413,17374,267772
"57","2021-11-02","England",43508,17807,246266
"58","2021-11-01","England",34642,15751,196712
"59","2021-10-31","England",22954,11464,131261
"60","2021-10-30","England",31157,22479,330445
"61","2021-10-29","England",36561,19175,238142
"62","2021-10-28","England",39397,19586,247995
"63","2021-10-27","England",39964,18740,236580
"64","2021-10-26","England",35780,19499,217396
"65","2021-10-25","England",32032,18251,188412
"66","2021-10-24","England",19607,14138,138088
"67","2021-10-23","England",32220,27527,325140
"68","2021-10-22","England",41732,22423,248183
"69","2021-10-21","England",44558,22027,255406
"70","2021-10-20","England",44521,21701,223816
"71","2021-10-19","England",38533,21141,199008
"72","2021-10-18","England",35334,20668,150296
"73","2021-10-17","England",9839,14545,99308
"74","2021-10-16","England",19735,30440,285730
"75","2021-10-15","England",35884,25380,198085
"76","2021-10-14","England",38185,23489,214287
"77","2021-10-13","England",32315,24828,190698
"78","2021-10-12","England",30636,22447,160010
"79","2021-10-11","England",23232,20350,121718
"80","2021-10-10","England",9111,15643,91878
"81","2021-10-09","England",18438,29751,250078
"82","2021-10-08","England",25536,25006,172645
"83","2021-10-07","England",25319,24208,176054
"84","2021-10-06","England",24519,24135,160387
"85","2021-10-05","England",35193,24253,154143
"86","2021-10-04","England",30784,24746,122358
"87","2021-10-03","England",10720,17502,88233
"88","2021-10-02","England",18736,30849,193759
"89","2021-10-01","England",31978,29993,153160
