"","date","wales_daily_cases","wales_seven_day_average"
"2","2022-02-18",1260,1182.28571428571
"3","2022-02-17",1352,1273.57142857143
"4","2022-02-16",1124,1332
"5","2022-02-15",923,1369.71428571429
"6","2022-02-14",2122,1396
"7","2022-02-13",1495,1576
"9","2022-02-11",1899,1629.28571428571
"10","2022-02-10",1761,1730.28571428571
"11","2022-02-09",1388,1825
"12","2022-02-08",1107,1893.85714285714
"13","2022-02-07",3382,1969.28571428571
"14","2022-02-06",1868,2133
"16","2022-02-04",2606,2271.85714285714
"17","2022-02-03",2424,2295.57142857143
"18","2022-02-02",1870,2378.85714285714
"19","2022-02-01",1635,2498.42857142857
"20","2022-01-31",4528,2547.28571428571
"21","2022-01-30",2840,2518.57142857143
"23","2022-01-28",2772,2516.71428571429
"24","2022-01-27",3007,2467.42857142857
"25","2022-01-26",2707,2433.28571428571
"26","2022-01-25",1977,2351.71428571429
"27","2022-01-24",4327,2334.57142857143
"28","2022-01-23",2827,2284.28571428571
"30","2022-01-21",2427,2185.14285714286
"31","2022-01-20",2768,2247.57142857143
"32","2022-01-19",2136,2308.85714285714
"33","2022-01-18",1857,2416
"34","2022-01-17",3975,2461.57142857143
"35","2022-01-16",2133,3564.14285714286
"37","2022-01-14",2864,4534.14285714286
"38","2022-01-13",3197,5255.71428571429
"39","2022-01-12",2886,6115.14285714286
"40","2022-01-11",2176,8742.71428571429
"41","2022-01-10",11693,11620
"42","2022-01-09",8923,9949.57142857143
"44","2022-01-07",7915,10680
"45","2022-01-06",9213,11034
"46","2022-01-05",21279,12725.1428571429
"47","2022-01-04",22317,10532.2857142857
"49","2022-01-02",14036,9112.42857142857
"51","2021-12-31",10393,7869.42857142857
"52","2021-12-30",21051,7349.71428571429
"53","2021-12-29",5929,4812.71428571429
"54","2021-12-28",12378,4631.71428571429
"56","2021-12-26",5335,4173.57142857143
"58","2021-12-24",6755,3906
"59","2021-12-23",3292,3388
"60","2021-12-22",4662,3330.42857142857
"61","2021-12-21",2375,3011.71428571429
"62","2021-12-20",6796,2932.28571428571
"63","2021-12-19",3462,2610.42857142857
"65","2021-12-17",3129,2486
"66","2021-12-16",2889,2390.71428571429
"67","2021-12-15",2431,2306.85714285714
"68","2021-12-14",1819,2290
"69","2021-12-13",4543,2331.14285714286
"70","2021-12-12",2591,2311.42857142857
"72","2021-12-10",2462,2308
"73","2021-12-09",2302,2292.85714285714
"74","2021-12-08",2313,2362.71428571429
"75","2021-12-07",2107,2327.57142857143
"76","2021-12-06",4405,2308.28571428571
"77","2021-12-05",2567,2246
"79","2021-12-03",2356,2159.71428571429
"80","2021-12-02",2791,2241.28571428571
"81","2021-12-01",2067,2182.14285714286
"82","2021-11-30",1972,2194.57142857143
"83","2021-11-29",3969,2188.71428571429
"84","2021-11-28",1963,2263
"86","2021-11-26",2927,2326.57142857143
"87","2021-11-25",2377,2259.28571428571
"88","2021-11-24",2154,2287.71428571429
"89","2021-11-23",1931,2325.28571428571
"90","2021-11-22",4489,2323.85714285714
"91","2021-11-21",2408,2328.28571428571
"93","2021-11-19",2456,2364.14285714286
"94","2021-11-18",2576,2411
"95","2021-11-17",2417,2347.85714285714
"96","2021-11-16",1921,2312.71428571429
"97","2021-11-15",4520,2293.14285714286
"98","2021-11-14",2659,2262.14285714286
"100","2021-11-12",2784,2251.28571428571
"101","2021-11-11",2134,2137.28571428571
"102","2021-11-10",2171,2232.28571428571
"103","2021-11-09",1784,2278.14285714286
"104","2021-11-08",4303,2339
"105","2021-11-07",2583,2436.14285714286
"107","2021-11-05",1986,2498
"108","2021-11-04",2799,2580.14285714286
"109","2021-11-03",2492,2560.85714285714
"110","2021-11-02",2210,2573.71428571429
"111","2021-11-01",4983,3013.42857142857
"112","2021-10-31",3016,2301.57142857143
"114","2021-10-29",2561,2321
"115","2021-10-28",2664,2426
"116","2021-10-27",2582,2651.14285714286
"117","2021-10-26",5288,2775.14285714286
"119","2021-10-24",3152,3390.85714285714
"121","2021-10-22",3296,3364.14285714286
"122","2021-10-21",4240,3340.42857142857
"123","2021-10-20",3450,3111.14285714286
"124","2021-10-19",3200,2942
"125","2021-10-18",6398,2777.28571428571
"126","2021-10-17",2965,2501.71428571429
"128","2021-10-15",3130,2078.14285714286
"129","2021-10-14",2635,2446
"130","2021-10-13",2266,2555.28571428571
"131","2021-10-12",2047,2518.28571428571
"132","2021-10-11",4469,2477
"135","2021-10-08",5705,2741
"136","2021-10-07",3400,2355.85714285714
"137","2021-10-06",2007,2238.71428571429
"138","2021-10-05",1758,2433.28571428571
"139","2021-10-04",3986,2506.42857142857
"140","2021-10-03",2331,2745.42857142857
"142","2021-10-01",3009,2884.28571428571
"143","2021-09-30",2580,2844
"144","2021-09-29",3369,2829.14285714286
"145","2021-09-28",2270,2702.85714285714
"146","2021-09-27",5659,2746.57142857143
"147","2021-09-26",3303,2689.28571428571
"149","2021-09-24",2727,2605.57142857143
"150","2021-09-23",2476,2590
"151","2021-09-22",2485,2649.28571428571
"152","2021-09-21",2576,2622.57142857143
"153","2021-09-20",5258,2529.42857142857
"154","2021-09-19",2717,2393.71428571429
"156","2021-09-17",2618,2336.57142857143
"157","2021-09-16",2891,2315
"158","2021-09-15",2298,2230.14285714286
"159","2021-09-14",1924,2283.14285714286
"160","2021-09-13",4308,2366
"161","2021-09-12",2317,2487.85714285714
"163","2021-09-10",2467,2498.14285714286
"164","2021-09-09",2297,2487.28571428571
"165","2021-09-08",2669,2484.14285714286
"166","2021-09-07",2504,2578.28571428571
"167","2021-09-06",5161,2773.71428571429
"168","2021-09-05",2389,2036.42857142857
"170","2021-09-03",2391,2031.85714285714
"171","2021-09-02",2275,1946.14285714286
"172","2021-09-01",3328,1962.42857142857
"173","2021-08-31",3872,1730.57142857143
"175","2021-08-29",2357,1840.28571428571
"177","2021-08-27",1791,1735.85714285714
"178","2021-08-26",2389,1726.85714285714
"179","2021-08-25",1705,1597
"180","2021-08-24",1393,1549.57142857143
"181","2021-08-23",3247,1459.28571428571
"182","2021-08-22",1626,1337.42857142857
"184","2021-08-20",1728,1262.14285714286
"185","2021-08-19",1480,1171
"186","2021-08-18",1373,1223.28571428571
"187","2021-08-17",761,1027.14285714286
"188","2021-08-16",2394,996
"189","2021-08-15",1099,848.857142857143
"191","2021-08-13",1090,815.285714285714
"192","2021-08-12",1846,774.285714285714
"194","2021-08-10",543,694.714285714286
"195","2021-08-09",1364,700.142857142857
"196","2021-08-08",864,663.285714285714
"198","2021-08-06",803,642.571428571429
"199","2021-08-05",681,645.571428571429
"200","2021-08-04",608,651.714285714286
"201","2021-08-03",581,648.857142857143
"202","2021-08-02",1106,666.428571428571
"203","2021-08-01",719,669.857142857143
"205","2021-07-30",824,744
"206","2021-07-29",724,734.142857142857
"207","2021-07-28",588,732.428571428571
"208","2021-07-27",704,782.857142857143
"209","2021-07-26",1130,761.571428571429
"210","2021-07-25",1238,893.428571428571
"212","2021-07-23",755,875.428571428571
"213","2021-07-22",712,922.285714285714
"214","2021-07-21",941,943.571428571429
"215","2021-07-20",555,971.285714285714
"216","2021-07-19",2053,997.285714285714
"217","2021-07-18",1112,874
"219","2021-07-16",1083,814.857142857143
"220","2021-07-15",861,753.714285714286
"221","2021-07-14",1135,730.857142857143
"222","2021-07-13",737,663.428571428571
"223","2021-07-12",1190,657.857142857143
"224","2021-07-11",698,667.285714285714
"226","2021-07-09",655,644
"227","2021-07-08",701,631.857142857143
"228","2021-07-07",663,600.428571428571
"229","2021-07-06",698,579
"230","2021-07-05",1256,519.428571428571
"231","2021-07-04",535,435.714285714286
"233","2021-07-02",570,418.714285714286
"234","2021-07-01",481,385.285714285714
"235","2021-06-30",513,379.142857142857
"236","2021-06-29",281,336.285714285714
"237","2021-06-28",670,321.142857142857
"238","2021-06-27",416,294.571428571429
"240","2021-06-25",336,260.285714285714
"241","2021-06-24",438,235.571428571429
"242","2021-06-23",213,193
"243","2021-06-22",175,182.714285714286
"244","2021-06-21",484,171.714285714286
"245","2021-06-20",176,137.857142857143
"247","2021-06-18",163,129.142857142857
"248","2021-06-17",140,122.714285714286
"249","2021-06-16",141,118.857142857143
"250","2021-06-15",98,130.571428571429
"251","2021-06-14",247,119.714285714286
"252","2021-06-13",115,95.1428571428571
"254","2021-06-11",118,91.8571428571429
"255","2021-06-10",113,85.1428571428571
"256","2021-06-09",223,76
"257","2021-06-08",22,56
"258","2021-06-07",75,66.2857142857143
"259","2021-06-06",92,55.5714285714286
"261","2021-06-04",71,46.7142857142857
"262","2021-06-03",49,41.1428571428571
"263","2021-06-02",83,42.4285714285714
"264","2021-06-01",94,34.5714285714286
"266","2021-05-30",30,38.2857142857143
"268","2021-05-28",32,40.5714285714286
"269","2021-05-27",58,40
"270","2021-05-26",28,38.1428571428571
"271","2021-05-25",19,40.4285714285714
"272","2021-05-24",101,42.2857142857143
"273","2021-05-23",46,40.8571428571429
"275","2021-05-21",28,42
"276","2021-05-20",45,45.7142857142857
"277","2021-05-19",44,47.7142857142857
"278","2021-05-18",32,44.5714285714286
"279","2021-05-17",91,44.2857142857143
"280","2021-05-16",54,46.1428571428571
"282","2021-05-14",54,46.1428571428571
"283","2021-05-13",59,45.1428571428571
"284","2021-05-12",22,41.5714285714286
"285","2021-05-11",30,46.1428571428571
